,Epoch,Loss Type,Loss Value
6226,0.241269841,G_loss,2.941
76,0.244444444,D_loss,0.5275
6227,0.244444444,G_loss,1.4535
77,0.247619048,D_loss,0.1415
6228,0.247619048,G_loss,3.4794
78,0.250793651,D_loss,0.1121
6229,0.250793651,G_loss,3.9637
79,0.253968254,D_loss,0.5987
6230,0.253968254,G_loss,6.1059
80,0.257142857,D_loss,0.0454
6231,0.257142857,G_loss,4.455
81,0.26031746,D_loss,0.2191
6232,0.26031746,G_loss,3.3735
82,0.263492063,D_loss,0.2125
6233,0.263492063,G_loss,3.8315
83,0.266666667,D_loss,0.1727
6234,0.266666667,G_loss,4.0533
84,0.26984127,D_loss,0.0503
6235,0.26984127,G_loss,4.3648
85,0.273015873,D_loss,0.0894
6236,0.273015873,G_loss,3.9961
86,0.276190476,D_loss,0.7569
6237,0.276190476,G_loss,1.3438
87,0.279365079,D_loss,0.0639
6238,0.279365079,G_loss,3.2744
88,0.282539683,D_loss,0.071
6239,0.282539683,G_loss,3.7175
89,0.285714286,D_loss,0.4074
6240,0.285714286,G_loss,3.3503
90,0.288888889,D_loss,0.2859
6241,0.288888889,G_loss,2.738
91,0.292063492,D_loss,0.0762
6242,0.292063492,G_loss,4.2935
92,0.295238095,D_loss,0.3302
6243,0.295238095,G_loss,5.0827
93,0.298412698,D_loss,0.4635
6244,0.298412698,G_loss,4.6983
94,0.301587302,D_loss,0.1493
6245,0.301587302,G_loss,4.2552
95,0.304761905,D_loss,0.3872
6246,0.304761905,G_loss,2.2666
96,0.307936508,D_loss,0.1438
6247,0.307936508,G_loss,3.7544
97,0.311111111,D_loss,0.2399
6248,0.311111111,G_loss,4.794
98,0.314285714,D_loss,0.0417
6249,0.314285714,G_loss,4.7929
99,0.317460317,D_loss,0.0531
6250,0.317460317,G_loss,3.892
100,0.320634921,D_loss,0.0609
6251,0.320634921,G_loss,4.2495
101,0.323809524,D_loss,0.4618
6252,0.323809524,G_loss,2.7203
102,0.326984127,D_loss,0.1101
6253,0.326984127,G_loss,3.4887
103,0.33015873,D_loss,0.1254
6254,0.33015873,G_loss,3.5096
104,0.333333333,D_loss,0.1849
6255,0.333333333,G_loss,4.1173
105,0.336507937,D_loss,0.2129
6256,0.336507937,G_loss,3.5716
106,0.33968254,D_loss,0.1795
6257,0.33968254,G_loss,3.0385
107,0.342857143,D_loss,0.4417
